performance_rating,bonus,employee_id,name,id,position,hire_date,department,salary,social_security,bank_account
"3.1","1500.00","EMP000001","员**","1","中级","2015-01-31","市场部","9000.00","SS0000000001","************0001"
"3.2","2000.00","EMP000002","员**","2","高级","2015-03-02","财务部","10000.00","SS0000000002","************0002"
"3.3","2500.00","EMP000003","员**","3","经理","2015-04-01","人力资源部","11000.00","SS0000000003","************0003"
"3.4","3000.00","EMP000004","员**","4","初级","2015-05-01","销售部","12000.00","SS0000000004","************0004"
"3.5","3500.00","EMP000005","员**","5","中级","2015-05-31","技术部","13000.00","SS0000000005","************0005"
"3.6","4000.00","EMP000006","员**","6","高级","2015-06-30","市场部","14000.00","SS0000000006","************0006"
"3.7","4500.00","EMP000007","员**","7","经理","2015-07-30","财务部","15000.00","SS0000000007","************0007"
"3.8","5000.00","EMP000008","员**","8","初级","2015-08-29","人力资源部","16000.00","SS0000000008","************0008"
"3.9","5500.00","EMP000009","员**","9","中级","2015-09-28","销售部","17000.00","SS0000000009","************0009"
"4.0","6000.00","EMP000010","员***","10","高级","2015-10-28","技术部","18000.00","SS0000000010","************0010"
"4.1","6500.00","EMP000011","员***","11","经理","2015-11-27","市场部","19000.00","SS0000000011","************0011"
"4.2","7000.00","EMP000012","员***","12","初级","2015-12-27","财务部","20000.00","SS0000000012","************0012"
"4.3","7500.00","EMP000013","员***","13","中级","2016-01-26","人力资源部","21000.00","SS0000000013","************0013"
"4.4","8000.00","EMP000014","员***","14","高级","2016-02-25","销售部","22000.00","SS0000000014","************0014"
"4.5","8500.00","EMP000015","员***","15","经理","2016-03-26","技术部","23000.00","SS0000000015","************0015"
"4.6","9000.00","EMP000016","员***","16","初级","2016-04-25","市场部","24000.00","SS0000000016","************0016"
"4.7","9500.00","EMP000017","员***","17","中级","2016-05-25","财务部","25000.00","SS0000000017","************0017"
"4.8","10000.00","EMP000018","员***","18","高级","2016-06-24","人力资源部","26000.00","SS0000000018","************0018"
"4.9","10500.00","EMP000019","员***","19","经理","2016-07-24","销售部","27000.00","SS0000000019","************0019"
"3.0","11000.00","EMP000020","员***","20","初级","2016-08-23","技术部","28000.00","SS0000000020","************0020"
